产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
152110276,鲁鸿医疗,12只,数量：6*价格：33.39,2028-04-01,96,1904,33.39,13844
216251085,鲁鸿医疗,12只,"数量：6*价格：33.5,数量：12*价格：33.2,数量：24*价格：32.8",2028-03-05,200,100,33.5,1216
260047992,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,99553,46,33.38,446
194599885,无恙大健康,12只,"数量：3*价格：36.68,数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-04-01,720,439,36.68,3895
215669200,鸿瑞康,12只,"数量：3*价格：36.68,数量：6*价格：35.8,数量：12*价格：35.5,数量：24*价格：35.0",2028-07-01,24,224,36.68,1467
255928907,给力汇,12只,数量：6*价格：35.09,2027-08-01,144,1,35.09,66
221965157,启信医药,12只,"数量：3*价格：42.5,数量：6*价格：41.8,数量：12*价格：41.5,数量：144*价格：40.8",2028-08-30,173,10,42.5,139
247289951,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,2306,13,33.38,94
259774418,永生旗舰店,12只,"数量：6*价格：34.8,数量：12*价格：34.6",2028-08-31,547,11,34.8,76
217156460,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,99834,20,33.38,162
263330173,叶丰源,12只,"数量：4*价格：36.5,数量：12*价格：35.5",2028-06-30,200,1,36.5,50
260032698,非凡贸易,12只,"数量：6*价格：41.0,数量：18*价格：40.0",2028-05-30,464,5,41.0,36
257449054,给力汇,12只,数量：6*价格：35.09,2028-07-01,288,6,35.09,44
223848121,无恙大健康,12只,"数量：3*价格：36.68,数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-03-01,144,36,36.68,267
18636050,帝豪旗舰店,12只,"数量：2*价格：43.85,数量：4*价格：43.05,数量：6*价格：42.25",2028-07-31,5343,7261,43.85,148895
194743680,恩宇,12只,"数量：3*价格：44.8,数量：12*价格：42.8",2028-03-07,99890,15,44.8,109
259850101,鲁鸿医疗,12只,"数量：6*价格：33.5,数量：12*价格：33.2,数量：24*价格：32.9",2028-04-01,200,2,33.5,18
199170645,鑫创源,12只,数量：12*价格：33.5,2028-02-29,120,29,33.5,291
245933715,济宁章鱼健康科技,12只,数量：6*价格：33.9,2028-03-30,978,3,33.9,18
151601563,智慧医疗器械,12只,数量：6*价格：43.0,2027-05-31,936,32,43.0,264
262461211,广东正医药业,12只,"数量：3*价格：36.65,数量：6*价格：35.05,数量：12*价格：34.65,数量：50*价格：33.38",2028-05-31,2476,5,36.65,24
18864976,采药易,12只,"数量：2*价格：43.85,数量：4*价格：43.05,数量：6*价格：42.25",2028-05-31,2731,7261,43.85,148895
226025355,成都墨芑,12只,数量：12*价格：33.99,2027-10-31,1000,15,33.99,93
215745941,药店品种预约中心,12只,"数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-06-01,288,57,35.09,601
259773297,永生旗舰店,12只,"数量：6*价格：41.5,数量：12*价格：41.3",2028-03-30,132,2,41.5,42
245940317,济宁章鱼健康科技,12只,数量：6*价格：42.0,2027-11-30,972,4,42.0,24
225754282,给力汇,12只,数量：6*价格：42.8,2027-08-01,120,4,42.8,24
254741451,红马医械,12只,数量：48*价格：5.09,2025-06-01,594,2,5.09,53
245572940,药店品种预约中心,12只,"数量：3*价格：34.8,数量：6*价格：34.5,数量：12*价格：33.9",2028-06-01,12,6,34.8,45
209188720,晨惠旗舰店,12只,数量：5*价格：46.8,2027-02-01,47,3,46.8,15
194624491,东莞康洁,12只,"数量：4*价格：36.5,数量：12*价格：35.5",2028-06-30,478,6,36.5,32
211708983,麦小象,12只,"数量：4*价格：40.8,数量：8*价格：39.9,数量：12*价格：39.0",2028-01-31,190,1,40.8,10
117985325,杜蕾斯共谐店,12只,数量：3*价格：25.0,2026-08-31,3,23,25.0,112
256152930,楚康通,12只,数量：3*价格：42.5,2028-03-31,563,7,42.5,37
250633742,杜蕾斯共谐店,12只,数量：12*价格：4.95,2028-04-30,76,0,4.95,0
250633434,杜蕾斯共谐店,12只,数量：12*价格：4.95,2028-04-30,77,0,4.95,0
246174540,杜蕾斯共谐店,12只,数量：12*价格：4.95,2028-04-30,57,0,4.95,0
223717324,恩宇,12只,数量：6*价格：7.6,2027-09-30,1000,0,7.6,0
127975955,杜蕾斯,12只,数量：5*价格：10.0,2026-04-30,1200,0,10.0,0
127945282,杜蕾斯共谐店,12只,数量：5*价格：10.0,2026-06-30,1200,0,10.0,0
127633227,杜蕾斯共谐店,12只,数量：5*价格：10.0,2026-06-30,1200,0,10.0,0
117466924,杜蕾斯共谐店,12只,数量：6*价格：10.0,2028-01-31,156,20,10.0,140
117462672,杜蕾斯,12只,数量：3*价格：12.0,2026-09-09,1200,0,12.0,0
126220146,杜蕾斯共谐店,12只,数量：5*价格：14.0,2026-12-31,1200,0,14.0,0
117462520,杜蕾斯,12只,数量：5*价格：14.0,2028-05-31,243,0,14.0,0
113399519,杜蕾斯共谐店,12只,数量：3*价格：19.0,2028-04-30,18,0,19.0,0
112563626,杜蕾斯,12只,数量：3*价格：19.0,2028-04-30,7,0,19.0,0
117987503,杜蕾斯共谐店,12只,数量：3*价格：22.5,2026-06-30,1200,27,22.5,151
117860219,杜蕾斯,12只,数量：2*价格：24.0,2027-05-31,18,1,24.0,2
113399790,杜蕾斯共谐店,12只,数量：3*价格：24.0,2028-03-31,18,0,24.0,0
244540431,武汉宝玉,12只,数量：12*价格：24.2,2026-10-31,400,0,24.2,0
112561864,杜蕾斯,12只,数量：3*价格：24.5,2028-03-31,8,0,24.5,0
213527027,郑州馨馨医疗器械,12只,数量：5*价格：28.0,2027-11-01,1200,0,28.0,0
176955620,惠州恒邦,12只,数量：5*价格：30.5,2028-04-30,177,1,30.5,5
260288151,麦小象,12只,数量：12*价格：32.0,2027-12-31,9999,0,32.0,0
231197752,城信医疗器械旗舰店,12只,数量：3*价格：33.0,2028-03-22,49998,0,33.0,0
224166731,林睿医疗,12只,数量：3*价格：33.0,2028-05-17,49998,0,33.0,0
118123291,杜蕾斯共谐店,12只,数量：2*价格：33.0,2026-09-30,23,0,33.0,0
118057331,杜蕾斯,12只,数量：2*价格：33.0,2026-09-30,9,0,33.0,0
262023226,山东意康,12只,"数量：6*价格：33.39,数量：12*价格：33.1",2026-02-28,23,0,33.39,0
