产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
152110276,鲁鸿医疗,12只,数量：6*价格：32.69,2028-04-01,7,1986,32.69,14443
216251085,鲁鸿医疗,12只,"数量：6*价格：33.5,数量：12*价格：33.2,数量：24*价格：32.8",2028-03-05,200,119,33.5,1410
260047992,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,99285,63,33.38,714
194599885,无恙大健康,12只,"数量：3*价格：36.68,数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-04-01,720,453,36.68,4002
259774418,永生旗舰店,12只,"数量：6*价格：34.8,数量：12*价格：34.6",2028-08-31,396,31,34.8,222
247289951,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,2300,14,33.38,100
215669200,鸿瑞康,12只,"数量：3*价格：36.68,数量：6*价格：35.8,数量：12*价格：35.5,数量：24*价格：35.0",2028-07-01,24,225,36.68,1479
262751600,东莞康洁,12只,"数量：4*价格：36.5,数量：12*价格：35.5",2028-06-30,350,3,36.5,52
259850101,鲁鸿医疗,12只,"数量：6*价格：33.5,数量：12*价格：33.2,数量：24*价格：32.9",2028-04-01,200,5,33.5,42
260032698,非凡贸易,12只,"数量：6*价格：41.0,数量：18*价格：40.0",2028-05-30,458,6,41.0,42
217156460,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,99834,20,33.38,162
151601563,智慧医疗器械,12只,数量：6*价格：43.0,2027-05-31,918,34,43.0,282
18636050,帝豪旗舰店,12只,"数量：2*价格：43.85,数量：4*价格：43.05,数量：6*价格：42.25",2028-07-31,5241,7269,43.85,148972
223848121,无恙大健康,12只,"数量：3*价格：36.68,数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-03-01,144,39,36.68,288
225754282,给力汇,12只,数量：6*价格：42.8,2027-08-01,120,5,42.8,30
18864976,采药易,12只,"数量：2*价格：43.85,数量：4*价格：43.05,数量：6*价格：42.25",2028-05-31,2716,7269,43.85,148972
221965157,启信医药,12只,"数量：3*价格：42.5,数量：6*价格：41.8,数量：12*价格：41.5,数量：144*价格：40.8",2028-08-30,148,11,42.5,145
245572940,药店品种预约中心,12只,"数量：3*价格：34.8,数量：6*价格：34.5,数量：12*价格：33.9",2028-06-01,12,7,34.8,48
259773297,永生旗舰店,12只,"数量：6*价格：41.5,数量：12*价格：41.3",2028-03-30,124,3,41.5,50
184455446,优色医疗器械旗舰店,12只,数量：6*价格：34.0,2027-06-02,144,137,34.0,943
262555074,南京同仁堂,12只,数量：2*价格：46.5,2028-05-31,21,1,46.5,12
226025355,成都墨芑,12只,数量：12*价格：33.99,2027-10-31,1000,16,33.99,98
256152930,楚康通,12只,数量：3*价格：42.5,2028-03-31,555,9,42.5,45
262461211,广东正医药业,12只,"数量：3*价格：36.65,数量：6*价格：35.05,数量：12*价格：34.65,数量：50*价格：33.38",2028-05-31,2476,5,36.65,24
194743683,恩宇,12只,"数量：3*价格：44.5,数量：6*价格：43.8",2028-03-07,99921,18,44.5,78
260047139,祥济堂,12只,"数量：6*价格：34.9,数量：12*价格：34.8,数量：24*价格：34.7,数量：48*价格：34.6",2028-05-31,1188,2,34.9,12
