产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
252898882,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,996,400,12.7,4394
216070608,云圳,300ml,"数量：6*价格：12.75,数量：12*价格：12.74,数量：18*价格：12.73",2025-09-15,5436,961,12.75,9574
268736827,容易采,300ml,数量：6*价格：12.7,2025-09-02,96,17,12.7,168
194542529,洁玲,300ml,数量：6*价格：12.69,2025-09-15,1000,42,12.69,437
267862220,鑫强医疗,300ml,数量：4*价格：12.66,2025-06-15,200,10,12.66,101
259999105,洁玲,300ml,数量：6*价格：12.69,2025-09-15,1000,13,12.69,116
194542530,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-15,1000,113,12.7,1004
267766813,康为医药,300ml,数量：7*价格：12.5,2025-10-06,15,7,12.5,53
269942947,康汇,300ml,数量：6*价格：12.7,2025-09-30,12,5,12.7,48
260025761,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,921,11,12.77,78
268726472,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,96,1,12.7,30
194542532,洁玲,300ml,"数量：6*价格：12.69,数量：100*价格：12.68",2025-09-15,1000,96,12.69,948
194542531,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-15,1000,6,12.7,40
263157399,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,4967,4,12.77,33
270816613,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,96,2,12.68,24
262561864,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,1000,6,12.68,36
259687458,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：30*价格：12.6",2025-06-17,987,2,12.71,12
267313719,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,1,12.85,10
208770626,金色天源,300ml,"数量：6*价格：13.2,数量：50*价格：13.0",2025-08-18,1582,6,13.2,68
260333585,鑫强医疗,300ml,数量：3*价格：13.5,2025-06-15,100,9,13.5,41
269110705,佛山小羚羊,300ml,数量：6*价格：14.2,2025-06-15,12,1,14.2,8
262442326,洁玲,300ml,数量：7*价格：12.69,2025-09-15,1000,6,12.69,67
255206152,江西瀚霆药业,300ml,数量：6*价格：12.71,2025-06-16,999,13,12.71,168
195116129,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,915,12,12.77,84
260166135,云圳,300ml,"数量：6*价格：12.8,数量：12*价格：12.79,数量：24*价格：12.78,数量：36*价格：12.76",2025-09-15,7986,2,12.8,12
206648816,康达人,300ml,数量：6*价格：12.99,2025-07-16,6,167,12.99,1031
211928382,杭州品正生物科技,300ml,数量：6*价格：13.3,2025-03-22,640,11,13.3,98
236089646,广东康城,300ml,数量：20*价格：4.0,2025-02-04,99990,0,4.0,0
258201848,众耀旗舰店,300ml,"数量：5*价格：6.86,数量：10*价格：6.8,数量：20*价格：6.6,数量：100*价格：5.99",2026-10-10,1000,0,6.86,0
259915932,洁玲,300ml,数量：5*价格：9.8,2024-02-29,1000,0,9.8,0
250299826,洁玲,300ml,数量：5*价格：9.8,2024-02-29,1045,1,9.8,5
267668443,豫康堂,300ml,数量：20*价格：10.34,2024-09-07,33,0,10.34,0
269712858,康汇,300ml,数量：6*价格：12.7,2025-09-30,12,0,12.7,0
267992576,要健康,300ml,数量：6*价格：12.7,2024-09-06,299,0,12.7,0
209051436,康汇,300ml,数量：6*价格：12.7,2025-09-30,12,0,12.7,0
260268874,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：50*价格：12.58",2025-06-16,999,0,12.71,0
255217369,江西瀚霆药业,300ml,数量：6*价格：12.71,2025-06-16,993,1,12.71,6
255216805,江西瀚霆药业,300ml,数量：6*价格：12.71,2025-06-16,999,0,12.71,0
247907221,洁玲,300ml,"数量：6*价格：12.71,数量：50*价格：12.69",2025-09-15,1000,0,12.71,0
268758944,华佗,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
233579617,五行医药,300ml,数量：7*价格：12.72,2024-09-01,200,0,12.72,0
233577713,华佗,300ml,数量：7*价格：12.72,2024-09-01,200,0,12.72,0
194537974,五行医药,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194530052,天福旗舰店,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194520874,华佗,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
