产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
252898882,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,996,442,12.7,4826
216070608,云圳,300ml,"数量：6*价格：12.75,数量：12*价格：12.74,数量：18*价格：12.73",2025-09-15,5316,969,12.75,9682
259999105,洁玲,300ml,数量：6*价格：12.69,2025-09-15,1000,19,12.69,162
194542529,洁玲,300ml,数量：6*价格：12.69,2025-09-15,1000,49,12.69,513
270816613,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,96,8,12.68,66
262561864,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,1000,7,12.68,86
260025761,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,891,13,12.77,108
268726472,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,96,1,12.7,30
263157399,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,4955,6,12.77,45
199411473,要快乐,300ml,数量：6*价格：14.35,2025-09-02,250,10,14.35,76
194542532,洁玲,300ml,"数量：6*价格：12.69,数量：100*价格：12.68",2025-09-15,1000,97,12.69,954
194542530,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-15,1000,114,12.7,1014
259687458,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：30*价格：12.6",2025-06-17,987,2,12.71,12
262442326,洁玲,300ml,数量：7*价格：12.69,2025-09-15,1000,7,12.69,77
194542531,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-15,1000,6,12.7,40
195116129,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,905,13,12.77,94
260333585,鑫强医疗,300ml,数量：3*价格：13.5,2025-06-15,100,10,13.5,44
250074958,仁美健康,300ml,"数量：6*价格：13.8,数量：12*价格：12.96",2025-09-15,8982,2,13.8,18
271719508,恒望商贸,300ml,数量：6*价格：13.88,2025-07-16,152,1,13.88,6
258863371,要快乐,300ml,"数量：6*价格：14.5,数量：10*价格：14.2",2025-09-02,250,1,14.5,6
233298097,红马医械,300ml,数量：5*价格：14.8,2025-08-18,269,3,14.8,18
236089646,广东康城,300ml,数量：20*价格：4.0,2025-02-04,99990,0,4.0,0
258201848,众耀旗舰店,300ml,"数量：5*价格：6.86,数量：10*价格：6.8,数量：20*价格：6.6,数量：100*价格：5.99",2026-10-10,1000,0,6.86,0
259915932,洁玲,300ml,数量：5*价格：9.8,2024-02-29,1000,0,9.8,0
250299826,洁玲,300ml,数量：5*价格：9.8,2024-02-29,1045,1,9.8,5
260268874,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：50*价格：12.58",2025-06-16,999,0,12.71,0
255206152,江西瀚霆药业,300ml,数量：6*价格：12.71,2025-06-16,999,13,12.71,168
247907221,洁玲,300ml,"数量：6*价格：12.71,数量：50*价格：12.69",2025-09-15,1000,0,12.71,0
194537974,五行医药,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194530052,天福旗舰店,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194520874,华佗,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
260228802,耀都云杉,300ml,数量：6*价格：12.75,2025-06-16,200,8,12.75,88
225639578,德润堂,300ml,数量：6*价格：12.75,2024-12-22,1000,1,12.75,10
216070612,云圳,300ml,"数量：6*价格：12.75,数量：12*价格：12.74,数量：18*价格：12.73",2025-09-15,6678,34,12.75,318
198630811,云圳,300ml,"数量：6*价格：12.75,数量：12*价格：12.74,数量：18*价格：12.73",2025-09-15,3000,6,12.75,36
194531653,云圳,300ml,"数量：6*价格：12.75,数量：12*价格：12.74,数量：18*价格：12.73",2025-09-15,6000,0,12.75,0
194531650,云圳,300ml,"数量：6*价格：12.75,数量：12*价格：12.74,数量：24*价格：12.73",2025-09-15,6000,22,12.75,248
260166125,云圳,300ml,"数量：6*价格：12.76,数量：12*价格：12.75,数量：24*价格：12.74,数量：36*价格：12.73",2025-09-15,7998,0,12.76,0
263157397,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,5000,0,12.77,0
260024267,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,4994,1,12.77,6
195116130,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,847,16,12.77,152
260166136,云圳,300ml,"数量：6*价格：12.8,数量：12*价格：12.79,数量：24*价格：12.78,数量：36*价格：12.77",2025-09-15,7998,0,12.8,0
260166135,云圳,300ml,"数量：6*价格：12.8,数量：12*价格：12.79,数量：24*价格：12.78,数量：36*价格：12.76",2025-09-15,7986,2,12.8,12
194257762,东莞千吉惠,300ml,数量：6*价格：12.8,2024-12-22,200,5,12.8,48
267313719,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,1,12.85,10
260149897,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,0,12.85,0
250500496,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,0,12.85,0
255892954,要健康,300ml,数量：6*价格：12.9,2024-09-06,291,0,12.9,0
194626385,要健康,300ml,数量：6*价格：12.9,2024-09-06,291,0,12.9,0
267313720,耀都云杉,300ml,数量：6*价格：12.95,2025-06-16,200,0,12.95,0
250500497,耀都云杉,300ml,数量：6*价格：12.95,2025-06-16,200,0,12.95,0
213838958,肇庆市仁安医药,300ml,数量：6*价格：12.98,2025-06-15,6000,1,12.98,24
213838954,肇庆市仁安医药,300ml,数量：6*价格：12.98,2025-06-15,6000,10,12.98,132
206648816,康达人,300ml,数量：6*价格：12.99,2025-07-16,6,167,12.99,1031
250074925,仁美健康,300ml,"数量：6*价格：13.1,数量：12*价格：12.96",2025-09-15,9000,0,13.1,0
250074923,仁美健康,300ml,"数量：6*价格：13.1,数量：12*价格：12.96",2025-09-15,9000,0,13.1,0
236851439,杭州品正生物科技,300ml,数量：12*价格：13.1,2025-07-10,9999,1,13.1,12
208770626,金色天源,300ml,"数量：6*价格：13.2,数量：50*价格：13.0",2025-08-18,1582,6,13.2,68
240907503,柏恩医药,300ml,数量：20*价格：13.4,2025-08-20,200,0,13.4,0
224667181,恒望商贸,300ml,数量：6*价格：13.48,2025-07-16,152,6,13.48,40
