产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
263032708,利安堂,380ml,数量：6*价格：12.6,2025-10-11,4604,51,12.6,396
248284333,洁玲,380ml,"数量：6*价格：11.59,数量：50*价格：11.5,数量：100*价格：11.3",2024-08-31,2045,283,11.59,2955
267237469,非凡贸易,380ml,数量：6*价格：13.0,2025-04-05,270,115,13.0,936
195115391,湖南德康堂,380ml,"数量：6*价格：11.7,数量：50*价格：11.5,数量：100*价格：11.3",2024-08-31,999,168,11.7,2043
270138651,耀都云杉,380ml,数量：6*价格：12.55,2025-06-21,200,32,12.55,224
243926625,药店品种预约中心,380ml,"数量：5*价格：12.9,数量：6*价格：12.8,数量：8*价格：12.4",2025-09-23,141,91,12.9,859
259993435,洁玲,380ml,数量：6*价格：12.29,2025-06-05,4994,20,12.29,155
195115392,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,9907,11,12.29,92
272905950,祥泰医药,380ml,"数量：6*价格：11.48,数量：50*价格：11.28",2024-08-09,989,4,11.48,82
246017179,药盛丰,380ml,数量：10*价格：11.9,2024-09-13,100,416,11.9,5003
194520873,华佗,380ml,数量：7*价格：12.38,2024-12-01,50,3,12.38,87
262441651,湖南德康堂,380ml,"数量：6*价格：11.7,数量：50*价格：11.5,数量：100*价格：11.3",2024-08-31,4635,36,11.7,365
262441654,湖南德康堂,380ML,数量：6*价格：12.29,2025-06-05,4934,8,12.29,66
219424068,东莞康采药业,380ml,数量：6*价格：12.8,2025-07-04,60,20,12.8,171
213260836,药铭鑫,380ml,数量：10*价格：13.5,2025-07-10,70,1,13.5,30
260014993,湖南德康堂,380ML,数量：6*价格：12.29,2025-06-15,971,3,12.29,28
259988609,洁玲,380ml,"数量：6*价格：11.7,数量：50*价格：11.59",2024-08-31,1000,6,11.7,52
193634146,壹佰益,380ml,数量：6*价格：12.7,2025-07-16,6,169,12.7,1011
234750172,药店品种预约中心,妇炎洁  植物草本抑菌洗液 380ml,数量：6*价格：13.5,2025-07-16,6,4,13.5,24
262441473,洁玲,380ML,"数量：6*价格：11.69,数量：50*价格：11.5,数量：100*价格：11.3",2024-08-31,4886,14,11.69,114
198158759,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,7067,301,12.29,2932
247907867,洁玲,380ml,"数量：6*价格：11.7,数量：50*价格：11.6",2024-08-31,1000,11,11.7,144
216096163,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,999,33,12.29,367
195123300,壹佰益,380ML,数量：6*价格：12.7,2025-07-16,39,733,12.7,6445
