产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
252898882,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,996,461,12.7,5000
259999105,洁玲,300ml,数量：6*价格：12.69,2025-09-15,1000,29,12.69,267
194542529,洁玲,300ml,数量：6*价格：12.69,2025-09-15,1000,51,12.69,529
270816613,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,96,14,12.68,132
262561864,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,1000,7,12.68,86
260025761,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,891,13,12.77,108
268726472,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,96,1,12.7,30
263157399,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,4955,6,12.77,45
194542532,洁玲,300ml,"数量：6*价格：12.69,数量：100*价格：12.68",2025-09-15,1000,98,12.69,960
262442326,洁玲,300ml,数量：7*价格：12.69,2025-09-15,1000,8,12.69,87
194542530,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-15,1000,114,12.7,1014
195116129,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,905,13,12.77,94
199411473,要快乐,300ml,数量：6*价格：14.35,2025-09-02,242,12,14.35,84
194542531,洁玲,300ml/瓶,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-15,1000,6,12.7,40
260333585,鑫强医疗,300ml,数量：3*价格：13.5,2025-06-15,100,10,13.5,44
271719508,恒望商贸,300ml,数量：6*价格：13.88,2025-07-16,152,1,13.88,6
233298097,红马医械,300ml/盒,数量：5*价格：14.8,2025-08-18,262,3,14.8,18
236089646,广东康城,300ml,数量：20*价格：4.0,2025-02-04,99990,0,4.0,0
258201848,众耀旗舰店,300*500mm*2+1条装,"数量：5*价格：6.86,数量：10*价格：6.8,数量：20*价格：6.6,数量：100*价格：5.99",2026-10-10,1000,0,6.86,0
259915932,洁玲,300g,数量：5*价格：9.8,2024-02-29,1000,0,9.8,0
250299826,洁玲,300g,数量：5*价格：9.8,2024-02-29,1045,1,9.8,5
260268874,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：50*价格：12.58",2025-06-16,999,0,12.71,0
259687458,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：30*价格：12.6",2025-06-17,987,2,12.71,12
255206152,江西瀚霆药业,300ml,数量：6*价格：12.71,2025-06-16,999,13,12.71,168
247907221,洁玲,300ml,"数量：6*价格：12.71,数量：50*价格：12.69",2025-09-15,1000,0,12.71,0
194537974,五行医药,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194530052,天福旗舰店,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194520874,华佗,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
260228802,耀都云杉,300ml,数量：6*价格：12.75,2025-06-16,200,8,12.75,88
