产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
216647535,江门永亮,230g,数量：6*价格：21.5,2026-06-21,6,603,21.5,5394
224933373,一千年医药,230g,数量：6*价格：21.5,2026-05-19,48,293,21.5,2318
255995978,乐途,230g,数量：6*价格：21.5,2026-08-09,24,34,21.5,528
234825256,非药汇,230g,数量：3*价格：23.8,2026-08-24,6,70,23.8,303
259961867,晨文医药,230g,数量：6*价格：24.79,2026-09-10,480,2,24.79,24
216306661,湖南德康堂,230g,数量：6*价格：21.97,2026-06-08,417,257,21.97,4583
259906300,湖南德康堂,230g,数量：6*价格：21.97,2026-06-08,4702,7,21.97,298
248526159,鑫美康,230g,数量：9*价格：24.3,2026-08-16,144,32,24.3,468
217739636,乐途,230g,数量：6*价格：21.5,2026-05-01,24,333,21.5,3247
253733389,云达医疗,230g,数量：6*价格：23.89,2026-10-10,1002,53,23.89,498
216319795,洁玲,230g,"数量：6*价格：22.7,数量：48*价格：22.5",2026-06-08,1000,145,22.7,2808
196233406,晋实惠,230g,数量：12*价格：23.98,2025-08-29,48,80,23.98,1373
259910951,洁玲,230g,"数量：6*价格：22.7,数量：48*价格：22.2",2026-06-08,1000,2,22.7,72
211303053,志晨医药,230g,数量：6*价格：24.79,2026-09-12,9,51,24.79,351
262671117,东莞康洁,230g,"数量：4*价格：27.5,数量：8*价格：27.0,数量：18*价格：26.5",2026-09-14,360,3,27.5,42
194736331,鑫创源,230g,数量：9*价格：24.2,2026-08-22,180,217,24.2,3015
258417020,蒙特生物,230g,数量：6*价格：26.5,2026-08-01,9971,3,26.5,28
262751663,东莞康洁,230g,"数量：4*价格：27.5,数量：8*价格：27.0,数量：18*价格：26.5",2026-09-14,360,2,27.5,28
260068888,一千年医药,230g,数量：6*价格：21.5,2026-05-19,48,2,21.5,24
257139357,同瑞健,230g,数量：6*价格：24.8,2026-06-07,216,3,24.8,24
256655797,昌信恒,230g,数量：6*价格：24.8,2026-06-07,6,9,24.8,54
204623286,东莞市晨禾供应链管理,230g,数量：6*价格：24.9,2028-03-01,300,21,24.9,231
200248052,同瑞健,230g,数量：6*价格：24.8,2026-06-07,6,268,24.8,1973
252943568,志文旗舰店,230g,"数量：3*价格：25.49,数量：6*价格：24.79,数量：9*价格：24.29",2026-02-28,48,4,25.49,36
248334326,湖南凡康,230g,"数量：6*价格：24.2,数量：9*价格：23.9",2026-06-07,171,6,24.2,60
215590054,江门永亮,230g,数量：6*价格：21.5,2026-08-01,6,20,21.5,120
