产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
262493314,洁玲,120g,数量：6*价格：17.18,2026-10-02,1000,6,17.18,56
216319798,洁玲,120g,数量：6*价格：16.68,2025-09-01,1000,78,16.68,1064
196133982,美东盈,120g,"数量：6*价格：17.99,数量：12*价格：17.73,数量：24*价格：17.49,数量：48*价格：16.23",2025-12-06,189,17,17.99,552
265622616,药中缘,120g,数量：15*价格：17.2,2026-08-01,699,1,17.2,15
263157476,湖南德康堂,120g,"数量：6*价格：16.9,数量：12*价格：16.75,数量：24*价格：16.68",2025-11-15,3866,2,16.9,12
255072159,同瑞健,120g,数量：12*价格：19.5,2025-05-04,48,3,19.5,14
266637722,湖南德康堂,120g,"数量：6*价格：16.9,数量：12*价格：16.75,数量：24*价格：16.68",2025-11-15,3866,0,16.9,0
259906303,湖南德康堂,120g,"数量：6*价格：16.9,数量：12*价格：16.75,数量：24*价格：16.68",2025-11-15,3866,1,16.9,6
266128497,洁玲,120g,"数量：6*价格：17.18,数量：12*价格：16.95,数量：48*价格：16.93",2025-09-01,1000,0,17.18,0
259910949,洁玲,120g,"数量：6*价格：17.18,数量：12*价格：16.95,数量：48*价格：16.93",2025-09-01,1000,0,17.18,0
194542507,洁玲,120g,"数量：6*价格：17.18,数量：12*价格：16.95,数量：48*价格：16.93",2025-09-01,1000,0,17.18,0
267178939,恒曦康,120g,数量：3*价格：17.46,2026-06-10,9,0,17.46,0
262489981,美东盈,120g,"数量：6*价格：17.48,数量：12*价格：17.4,数量：24*价格：17.2,数量：48*价格：16.85",2025-12-06,189,0,17.48,0
256143996,美东盈,120g,"数量：6*价格：17.48,数量：12*价格：17.4,数量：24*价格：17.2,数量：48*价格：16.85",2025-12-06,189,0,17.48,0
195116199,湖南德康堂,120g,数量：6*价格：17.6,2025-11-15,3866,1,17.6,6
265358138,药中缘,120g,数量：15*价格：17.67,2026-08-01,699,0,17.67,0
244090045,药中缘,120g,数量：15*价格：17.67,2026-08-01,699,1,17.67,30
264919884,美东盈,120g,"数量：6*价格：17.69,数量：12*价格：17.48,数量：24*价格：17.29,数量：48*价格：16.99",2025-12-06,189,0,17.69,0
194669304,壹佰益,120g,"数量：6*价格：17.69,数量：48*价格：17.6",2025-05-04,216,0,17.69,0
215640736,壹佰益,120g,数量：12*价格：17.95,2025-05-04,12,0,17.95,0
198131192,壹佰益,120g,数量：6*价格：17.95,2025-05-04,220,1,17.95,6
