产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
152110276,鲁鸿医疗,12只,数量：6*价格：33.39,2028-04-01,96,2023,33.39,14755
260047992,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,98933,86,33.38,1066
259774418,永生旗舰店,12只,"数量：6*价格：34.8,数量：12*价格：34.6",2028-08-31,318,40,34.8,294
216251085,鲁鸿医疗,12只,"数量：6*价格：33.5,数量：12*价格：33.2,数量：24*价格：32.8",2028-03-05,200,123,33.5,1456
194599885,无恙大健康,12只,"数量：3*价格：36.68,数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-04-01,720,458,36.68,4047
217156460,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,99822,22,33.38,174
272123777,四川宜初霁,12只+4只,数量：3*价格：39.11,2028-06-30,22,2,39.11,8
272466212,惠州民信堂,12只,数量：2*价格：36.8,2028-06-30,6,2,36.8,4
262751600,东莞康洁,12只,"数量：4*价格：36.5,数量：12*价格：35.5",2028-03-31,780,3,36.5,52
151601563,智慧医疗器械,12只+4只,数量：6*价格：43.0,2027-05-31,912,35,43.0,288
259850101,鲁鸿医疗,12只,"数量：6*价格：33.5,数量：12*价格：33.2,数量：24*价格：32.9",2028-04-01,200,5,33.5,42
18636050,帝豪旗舰店,12只,"数量：2*价格：43.85,数量：4*价格：43.05,数量：6*价格：42.25",2028-07-31,4266,7275,43.85,148995
223848121,无恙大健康,12只,"数量：3*价格：36.68,数量：6*价格：35.09,数量：12*价格：34.65,数量：24*价格：33.9",2028-03-01,144,39,36.68,288
260032698,非凡贸易,12只+4只,"数量：6*价格：41.0,数量：18*价格：40.0",2028-05-30,458,6,41.0,42
225754282,给力汇,12只,数量：6*价格：42.8,2027-08-01,120,5,42.8,30
199947735,鹏轩医疗器械,12只装/盒,数量：12*价格：37.8,2027-12-31,240,5,37.8,22
18864976,采药易,12只,"数量：2*价格：43.85,数量：4*价格：43.05,数量：6*价格：42.25",2028-05-31,2712,7275,43.85,148995
117987503,杜蕾斯共谐店,12只+4只,数量：3*价格：22.5,2026-06-30,1200,28,22.5,166
259773297,永生旗舰店,12只,"数量：6*价格：41.5,数量：12*价格：41.3",2028-03-30,124,3,41.5,50
247289951,朱雀,12只,"数量：6*价格：33.38,数量：12*价格：33.37,数量：48*价格：33.36,数量：120*价格：33.35",2028-05-31,2294,15,33.38,106
